"","id","superficie","fecha","lat","lng","idprovincia","idmunicipio","causa","muertos","heridos","time_ctrl","time_ext","personal","medios","gastos","perdidas","ALTITUD","TMEDIA","PRECIPITACION","TMIN","TMAX","VELMEDIA","RACHA","SOL","PRESMAX","PRESMIN","Trimestre","Mes","Año","DIR_VIENTO"
"3",2001150094,"< 100 HA",2001-02-25,43.186836,-8.68547,"A Coruña","CARBALLO","intencionado","0","0",2.05,2.05,5,0,"NO INFO",1028,"Inferior a 80",9,"0",6.5,11.6,4.2,11.1,10.2,"SUPERIOR A 1000","SUPERIOR A 1000","Q1","febrero",2001,"NE"
"5",2001150145,"< 100 HA",2001-04-13,43.699889,-7.984566,"A Coruña","CEDEIRA","negligencia","0","0",1.5,1.5,9,1,"NO INFO",126,"Inferior a 80",13.9,"0",10.4,17.4,4.2,13.9,12.1,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"NE"
"6",2001150151,"< 100 HA",2001-04-13,42.758649,-8.917814,"A Coruña","LOUSAME","causa desconocida","0","0",3.1,3.1,18,2,"NO INFO",234,"Inferior a 80",13.9,"0",10.4,17.4,4.2,13.9,12.1,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"NE"
"7",2001150153,"< 100 HA",2001-04-13,43.063218,-9.235604,"A Coruña","MUXÃƒÂA","intencionado","0","0",1.35,1.35,14,1,"NO INFO",2915,"Inferior a 80",13.9,"0",10.4,17.4,4.2,13.9,12.1,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"NE"
"9",2001150181,"< 100 HA",2001-04-15,43.240732,-8.670253,"A Coruña","CARBALLO","intencionado","0","0",2.25,2.25,6,2,"NO INFO",2254,"Inferior a 80",12.7,"0",8.8,16.6,1.4,9.2,11.8,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"SE"
"10",2001150183,"< 100 HA",2001-04-15,42.935457,-9.154093,"A Coruña","CEE","intencionado","0","0",4.3,4.3,9,2,"NO INFO",1189,"Inferior a 80",12.7,"0",8.8,16.6,1.4,9.2,11.8,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"SE"
"11",2001150194,"< 100 HA",2001-04-16,43.645998,-8.044866,"A Coruña","CEDEIRA","intencionado","0","0",3.1,3.1,11,0,"NO INFO",66,"Inferior a 80",12.9,"0",9.4,16.4,4.2,11.9,6.4,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"NE"
"12",2001150197,"< 100 HA",2001-04-16,43.371826,-8.025395,"A Coruña","MONFERO","intencionado","0","0",2.12,2.12,6,1,"NO INFO",3600,"Inferior a 80",12.9,"0",9.4,16.4,4.2,11.9,6.4,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"NE"
"20",2001150234,"< 100 HA",2001-04-18,43.057849,-8.094067,"A Coruña","VILASANTAR","intencionado","0","0",1.5,1.5,5,1,"NO INFO",667,"Inferior a 80",11.9,"1",9.8,14,3.6,11.1,6.5,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"NE"
"21",2001150235,"< 100 HA",2001-04-18,42.788957,-8.519923,"A Coruña","TEO","intencionado","0","0",1,1,8,1,"NO INFO",354,"Inferior a 80",11.9,"1",9.8,14,3.6,11.1,6.5,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"NE"
"22",2001150240,"< 100 HA",2001-04-18,42.803509,-8.409987,"A Coruña","BOQUEIXÃƒâ€œN-CASANOVA","intencionado","0","0",2.45,2.45,9,2,"NO INFO",2205,"Inferior a 80",11.9,"1",9.8,14,3.6,11.1,6.5,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"NE"
"23",2001150246,"< 100 HA",2001-04-18,42.720584,-8.88716,"A Coruña","BOIRO","intencionado","0","0",2.45,2.45,6,1,"NO INFO",1809,"Inferior a 80",11.9,"1",9.8,14,3.6,11.1,6.5,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"NE"
"24",2001150247,"< 100 HA",2001-04-18,43.371826,-8.025395,"A Coruña","MONFERO","intencionado","0","0",1.3,1.3,6,1,"NO INFO",637,"Inferior a 80",11.9,"1",9.8,14,3.6,11.1,6.5,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"NE"
"25",2001150250,"< 100 HA",2001-04-18,43.371826,-8.025395,"A Coruña","MONFERO","intencionado","0","0",3.35,3.35,11,2,"NO INFO",931,"Inferior a 80",11.9,"1",9.8,14,3.6,11.1,6.5,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"NE"
"26",2001150256,"< 100 HA",2001-04-19,42.803773,-8.381428,"A Coruña","BOQUEIXÃƒâ€œN-CASANOVA","negligencia","0","0",1.55,1.55,15,0,"NO INFO",5000,"Inferior a 80",10.8,"1",9.3,12.4,4.4,12.5,6.4,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"SW"
"27",2001150264,"< 100 HA",2001-04-19,42.673902,-8.91086,"A Coruña","BOIRO","intencionado","0","0",2.2,2.2,6,1,"NO INFO",84,"Inferior a 80",10.8,"1",9.3,12.4,4.4,12.5,6.4,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"SW"
"28",2001150265,"< 100 HA",2001-04-19,42.700129,-8.928184,"A Coruña","BOIRO","intencionado","0","0",4.4475,4.4475,11,3,"NO INFO",8276,"Inferior a 80",10.8,"1",9.3,12.4,4.4,12.5,6.4,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"SW"
"29",2001150267,"< 100 HA",2001-04-20,42.851086,-8.866091,"A Coruña","OUTES","intencionado","0","0",1.4,1.4,16,2,"NO INFO",631,"Inferior a 80",10.2,"1",7.8,12.6,3.9,13.1,8.4,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"N"
"30",2001150268,"< 100 HA",2001-04-20,43.363698,-8.292697,"A Coruña","SADA","intencionado","0","0",2.45,2.45,14,3,"NO INFO",8841,"Inferior a 80",10.2,"1",7.8,12.6,3.9,13.1,8.4,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"N"
"31",2001150271,"< 100 HA",2001-04-20,42.854833,-8.567981,"A Coruña","SANTIAGO DE COMPOSTELA","intencionado","0","0",1.5,1.5,28,4,"NO INFO",6436,"Inferior a 80",10.2,"1",7.8,12.6,3.9,13.1,8.4,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"N"
"32",2001150283,"< 100 HA",2001-04-21,42.903258,-8.81752,"A Coruña","NEGREIRA","intencionado","0","0",2.2,2.2,5,1,"NO INFO",817,"Inferior a 80",10.9,"1",7.8,14,1.7,10,3.1,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","abril",2001,"N"
"33",2001150297,"< 100 HA",2001-05-08,42.765558,-8.647949,"A Coruña","PADRÃƒâ€œN","intencionado","0","0",2.3,2.3,12,2,"NO INFO",3984,"Inferior a 80",13.7,"0",10,17.4,4.2,13.6,11.8,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","mayo",2001,"NE"
"34",2001150303,"< 100 HA",2001-05-08,43.026913,-8.741116,"A Coruña","SANTA COMBA","intencionado","0","0",1.5,1.5,6,1,"NO INFO",306,"Inferior a 80",13.7,"0",10,17.4,4.2,13.6,11.8,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","mayo",2001,"NE"
"35",2001150309,"< 100 HA",2001-05-09,43.063218,-9.235604,"A Coruña","MUXÃƒÂA","intencionado","0","0",1.1,1.1,9,1,"NO INFO",276,"Inferior a 80",14.6,"0",11.2,18,2.2,8.9,8.5,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","mayo",2001,"N"
"36",2001150310,"< 100 HA",2001-05-09,42.801806,-8.824556,"A Coruña","LOUSAME","intencionado","0","0",4.3,4.3,15,1,"NO INFO",1418,"Inferior a 80",14.6,"0",11.2,18,2.2,8.9,8.5,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","mayo",2001,"N"
"37",2001150314,"< 100 HA",2001-05-11,43.04568,-9.033727,"A Coruña","VIMIANZO","intencionado","0","0",1.4,1.4,12,1,"NO INFO",673,"Inferior a 80",16.3,"0",11.6,21,1.9,7.8,12.5,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","mayo",2001,"N"
"38",2001150315,"< 100 HA",2001-05-11,43.227333,-8.850752,"A Coruña","CABANA DE BERGANTIÃƒâ€˜OS","negligencia","0","0",2.45,2.45,13,1,"NO INFO",896,"Inferior a 80",16.3,"0",11.6,21,1.9,7.8,12.5,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","mayo",2001,"N"
"39",2001150318,"< 100 HA",2001-05-11,42.96218,-9.253058,"A Coruña","FISTERRA","intencionado","0","0",2,2,28,2,"NO INFO",270,"Inferior a 80",16.3,"0",11.6,21,1.9,7.8,12.5,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","mayo",2001,"N"
"40",2001150324,"< 100 HA",2001-05-11,43.109135,-8.922754,"A Coruña","ZAS","intencionado","0","0",3.5,3.5,6,1,"NO INFO",126,"Inferior a 80",16.3,"0",11.6,21,1.9,7.8,12.5,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","mayo",2001,"N"
"49",2001150348,"< 100 HA",2001-05-20,43.117091,-8.905523,"A Coruña","ZAS","intencionado","0","0",1.4,1.4,11,0,"NO INFO",258,"Inferior a 80",17.5,"0",12.4,22.6,3.6,10.3,13.3,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","mayo",2001,"E"
"51",2001150363,"< 100 HA",2001-05-22,43.083016,-8.450777,"A Coruña","ORDES","intencionado","0","0",2.05,2.05,6,2,"NO INFO",648,"Inferior a 80",15.2,"0",13.2,17.3,1.7,7.2,6,"SUPERIOR A 1000","SUPERIOR A 1000","Q2","mayo",2001,"NW"
